   0.516      9.6     0.48  W90 
   0.389     10.4     0.52  W98a 
    0.09      9.5        1  Read1984 
   0.135       11        3  Read1984 
   0.156       10        3  Read1984 
     0.6       12        5  Read1984 
      19     15.8        8  Read1984 
     2.1      8.9      1.7  Olson1983 
    0.05     19.6      2.8  Moyle1979 
   0.055     33.7      4.5  Moyle1979 
   0.065       34      4.7  Moyle1979 
   0.075     31.4      3.8  Moyle1979 
    0.09     18.3      3.8  Moyle1979 
    0.29      9.9      0.6  Zeitlin2011 
     0.4     10.6      0.6  Zeitlin2011 
     0.6     10.9      0.6  Zeitlin2011 
       1     12.1      0.7  Zeitlin2011 
