  0.0544       17        3  EXFOR 
  0.0591       18        4  EXFOR 
  0.0608       19        4  EXFOR 
  0.0657       22        4  EXFOR 
  0.0658       21        4  EXFOR 
  0.0711       18        4  EXFOR 
  0.0896       17        3  EXFOR 
  0.0945       17        3  EXFOR 
   0.183       13        3  EXFOR 
   0.189       12        2  EXFOR 
   0.199       14        3  EXFOR 
    0.42      8.4     1.68  EXFOR 
   0.522     10.5      2.1  EXFOR 
   0.648      7.9     1.58  EXFOR 
   0.835     10.6     2.12  EXFOR 
    0.98     10.3     2.06  EXFOR 
   0.155       11        1  EXFOR 
   0.362     13.6     1.36  EXFOR 
     5.7       12      1.2  EXFOR 
   0.146     12.7        2  EXFOR 
   0.516     11.9     1.19  W90 
   0.389     10.2     1.02  W98a 
   0.146     12.7        2  Read1984 
   0.153        7        1  Read1984 
   0.155       11        1  Read1984 
   0.156       11        1  Read1984 
     2.1       11      1.1  Olson1983 
